"playerID","yearID","G","G_batting","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","G_old"
"abramcj01",2023,151,151,563,83,138,28,6,18,64,47,4,32,118,2,13,3,3,7,NA
"abreujo02",2023,141,141,540,62,128,23,1,18,90,0,1,42,130,1,6,0,6,16,NA
"abreuwi02",2023,28,28,76,10,24,6,0,2,14,3,1,9,23,0,0,0,0,0,NA
"acunaro01",2023,158,159,643,149,217,35,4,41,106,73,14,80,84,3,9,0,3,15,NA
"adamewi01",2023,149,149,553,73,120,29,2,24,80,5,3,71,165,1,6,0,6,12,NA
"adamsjo03",2023,17,17,39,1,5,0,0,0,1,1,2,0,16,0,0,0,1,0,NA
"adamsri03",2023,44,44,143,8,39,13,2,4,21,0,0,11,45,0,2,1,1,5,NA
"adelljo01",2023,16,17,58,7,12,3,1,3,6,1,0,4,25,0,0,0,0,1,NA
"adriaeh01",2023,5,5,10,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,NA
"aguilje01",2023,36,36,104,8,23,2,0,5,9,0,0,8,31,2,1,0,1,3,NA
"ahmedni01",2023,72,72,198,14,42,10,1,2,17,5,1,12,52,0,0,0,0,0,NA
"alberha01",2023,30,30,82,11,18,5,0,3,16,0,0,4,13,0,1,2,1,1,NA
"albieoz01",2023,148,148,596,96,167,30,5,33,109,13,1,46,107,2,8,0,8,9,NA
"alfarjo01",2023,18,18,48,2,7,4,0,1,4,0,0,2,15,0,2,0,0,3,NA
"allengr01",2023,22,22,23,6,5,1,1,1,1,3,1,2,10,0,2,1,0,0,NA
"allenni02",2023,106,106,303,29,67,4,2,4,20,5,1,17,52,0,1,6,2,8,NA
"almonab01",2023,8,8,15,1,1,1,0,0,0,0,0,1,8,0,0,0,0,0,NA
"alonspe01",2023,153,154,568,92,123,21,2,46,118,4,1,65,151,6,21,0,4,17,NA
"altuvjo01",2023,89,90,360,76,112,21,2,17,51,14,2,44,71,0,5,0,1,9,NA
"aluja01",2023,51,51,159,14,36,2,1,2,16,5,1,10,42,0,3,1,2,2,NA
"alvarfr01",2023,123,123,382,51,80,12,0,25,63,2,0,34,110,0,6,0,1,14,NA
"alvaryo01",2023,114,114,410,77,120,24,1,31,97,0,0,69,92,5,13,0,4,7,NA
"amayaja01",2023,4,4,9,1,2,0,0,0,2,1,0,0,1,0,0,0,0,0,NA
"amayami01",2023,53,53,131,17,28,4,0,5,18,0,0,12,40,0,11,1,1,2,NA
"anderbr06",2023,96,96,318,38,72,12,3,9,40,1,3,36,108,0,4,0,3,10,NA
"anderti01",2023,123,123,493,52,121,18,2,1,25,13,2,26,122,0,3,0,2,15,NA
"andruel01",2023,112,112,374,39,94,20,1,6,44,12,4,25,71,1,4,1,2,11,NA
"andujmi01",2023,30,30,84,9,21,7,0,4,18,2,0,6,13,0,0,0,0,1,NA
"arandjo01",2023,34,34,87,13,20,4,1,2,13,0,0,13,31,1,2,0,1,1,NA
