Tm,RA/G,DefEff,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs
Arizona Diamondbacks,4.7,0.695,5761,4306,1399,56,134,0.99,43,4,46
Atlanta Braves,4.42,0.685,5741,4320,1339,82,133,0.986,21,2,16
Baltimore Orioles,4.19,0.696,5876,4361,1444,71,140,0.988,37,3,34
Boston Red Sox,4.79,0.677,5821,4290,1429,102,137,0.982,-17,-2,-20
Chicago Cubs,4.46,0.694,5888,4306,1490,92,137,0.984,9,1,36
Chicago White Sox,5.19,0.685,5639,4295,1249,95,117,0.983,-50,-5,-59
Cincinnati Reds,5.07,0.685,5692,4318,1283,91,125,0.984,-13,-1,-38
Cleveland Guardians,4.3,0.698,5833,4332,1418,83,119,0.986,-5,0,24
Colorado Rockies,5.91,0.67,5839,4242,1516,81,169,0.986,5,0,20
Detroit Tigers,4.57,0.699,5830,4327,1403,100,129,0.983,32,3,22
Houston Astros,4.31,0.697,5763,4336,1346,81,144,0.986,33,3,15
Kansas City Royals,5.3,0.685,5698,4227,1391,80,123,0.986,-19,-2,-15
Los Angeles Angels,5.12,0.682,5674,4295,1284,95,124,0.983,-66,-6,1
Los Angeles Dodgers,4.31,0.709,5821,4339,1406,76,139,0.987,42,4,57
Miami Marlins,4.46,0.683,5816,4306,1412,98,144,0.983,-24,-2,-11
Milwaukee Brewers,3.99,0.719,5813,4329,1407,77,117,0.987,58,5,68
Minnesota Twins,4.07,0.697,5706,4354,1286,66,116,0.988,-3,0,33
New York Mets,4.5,0.689,5731,4249,1394,88,142,0.985,-38,-4,-25
New York Yankees,4.31,0.704,5842,4319,1427,96,113,0.984,22,2,27
Oakland Athletics,5.7,0.678,5630,4259,1269,102,124,0.982,-60,-6,-79
Philadelphia Phillies,4.41,0.695,5803,4327,1385,91,117,0.984,1,0,-30
Pittsburgh Pirates,4.88,0.686,5784,4290,1403,91,135,0.984,-24,-2,3
San Diego Padres,4,0.702,5840,4323,1444,73,130,0.988,44,4,40
Seattle Mariners,4.07,0.7,5800,4348,1379,73,123,0.987,12,1,15
San Francisco Giants,4.44,0.679,6027,4304,1606,117,143,0.981,-24,-2,-15
St. Louis Cardinals,5.12,0.67,5944,4285,1592,67,154,0.989,-54,-5,-7
Tampa Bay Rays,4.1,0.703,5802,4326,1401,75,114,0.987,29,3,25
Texas Rangers,4.42,0.703,5789,4309,1423,57,143,0.99,36,3,35
Toronto Blue Jays,4.14,0.693,5733,4355,1307,71,125,0.988,21,2,85
Washington Nationals,5.22,0.682,5880,4285,1505,90,158,0.985,-29,-3,-30
League Average,4.62,0.691,5794,4309,1401,84,132,0.986,1,0,9
,4.62,0.691,173816,129262,42037,2517,3968,0.986,17,0,272
