Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Atlanta Braves55.3,MIA22.9,MIA15.4,NYY10.4,ATL39.4,ARI3.8,ATL7.4,TEX7.5,ATL5.9,TEX7.0,SDP5.1,SEA5.5,ATL8.2,ATL12.7,LAA5.2,MIN2.2
2,Tampa Bay Rays52.9,PHI21.6,MIN14.7,CIN10.1,TBR35.4,STL3.7,LAD6.6,CLE5.1,PIT5.0,TBR6.1,ARI4.1,TOR5.0,LAD5.9,HOU12.6,HOU4.0,TBR1.9
3,Texas Rangers48.1,MIN20.8,PHI13.7,PHI7.9,TEX34.8,PHI3.6,TBR5.9,ATL5.0,HOU4.8,NYM5.8,TBR3.8,PHI4.7,HOU5.8,SDP12.0,ATL3.6,TOR1.7
4,Houston Astros46.4,NYY20.0,TEX13.5,MIA7.4,HOU32.0,ATL3.6,ARI3.6,ARI4.9,TOR4.7,SEA5.5,MIL3.6,CHW4.6,SDP4.9,LAD10.4,TBR3.4,BAL1.5
5,Minnesota Twins46.3,MIL18.6,SDP12.7,MIL7.1,LAD31.9,SEA3.4,NYM3.0,CHC4.7,TBR4.3,CHC5.5,HOU3.5,CHC4.0,TEX4.0,CHC10.0,BAL3.2,BOS1.3
6,Toronto Blue Jays45.5,SEA17.8,NYM12.0,TBR6.8,TOR30.7,MIL3.4,SFG3.0,MIA4.7,BAL4.3,SDP4.8,CLE3.4,LAA3.9,TBR3.5,TBR9.7,TOR3.2,LAD1.3
7,Philadelphia Phillies45.3,TBR17.5,SEA11.8,BOS6.8,SDP29.1,BAL3.4,STL2.8,SDP4.1,CLE4.0,TOR4.3,CHC3.1,NYM3.7,MIN3.3,TOR9.6,PHI3.0,SEA1.3
8,Los Angeles Dodgers45.1,BOS17.4,MIL11.5,HOU6.7,BAL28.0,TEX2.9,TEX2.6,HOU4.0,SDP3.7,KCR4.2,TOR2.8,ATL3.5,WSN3.2,SEA9.5,LAD2.7,PHI1.1
9,San Diego Padres44.8,SFG16.5,TBR10.6,SFG6.4,MIN25.5,TOR2.9,BAL2.5,PHI3.8,BOS3.5,HOU4.0,CIN2.2,HOU3.3,BOS3.1,TEX9.2,MIN2.7,SFG1.0
10,Baltimore Orioles44.3,BAL16.3,BOS10.6,BAL6.3,SEA24.9,LAD2.7,BOS2.4,MIN3.7,MIN3.3,PHI3.5,BAL2.2,TEX3.1,CHC2.9,ARI8.9,TEX2.4,WSN0.9
11,Seattle Mariners42.7,ATL15.9,CLE10.2,LAD6.3,ARI24.0,SDP2.5,TOR2.3,LAD3.5,WSN3.0,BAL3.5,PIT2.1,LAD3.0,SEA2.2,MIN7.8,BOS2.1,HOU0.8
12,Chicago Cubs37.7,SDP15.7,SFG10.1,ATL6.0,CHC23.9,MIN2.4,PIT2.2,CIN3.0,TEX2.6,WSN3.4,NYM2.1,BAL3.0,ARI2.2,BOS7.6,STL1.7,MIA0.8
13,Milwaukee Brewers36.8,NYM15.1,BAL10.0,MIN6.0,PHI23.7,WSN2.2,CLE1.8,TBR2.9,LAD2.5,MIL3.2,MIN2.1,DET2.9,BAL2.1,PHI7.6,PIT1.7,ARI0.7
14,Boston Red Sox36.3,CIN15.0,CHW9.8,DET6.0,BOS18.9,HOU1.7,MIN1.4,NYY2.5,SEA2.5,NYY3.0,TEX2.1,STL2.7,DET2.1,BAL7.3,MIA1.6,CIN0.7
15,Arizona Diamondbacks34.3,TOR14.8,ATL9.8,SEA5.9,MIL18.2,KCR1.7,OAK1.2,BAL2.3,COL2.5,COL2.3,BOS2.0,CIN2.6,OAK1.8,MIL6.9,CLE1.2,TEX0.6
16,Miami Marlins33.5,DET14.5,NYY9.6,TOR5.8,STL18.2,BOS1.6,WSN1.0,STL2.3,STL2.1,CIN2.3,LAA2.0,ARI2.6,TOR1.8,LAA6.0,SFG1.2,KCR0.6
17,Cincinnati Reds30.9,HOU14.4,TOR9.0,CHC5.8,WSN17.2,CIN1.3,CIN0.9,TOR2.0,CIN1.4,LAD2.2,SEA1.8,BOS2.5,MIA1.6,DET6.0,SEA1.1,MIL0.6
18,Cleveland Guardians30.5,CHC13.8,DET8.5,PIT4.9,CLE16.8,TBR1.2,NYY0.7,OAK1.9,CHW1.4,MIN2.0,LAD1.5,MIN2.4,PHI1.6,NYM5.9,NYY1.1,CHC0.6
19,New York Mets30.4,CLE13.7,LAA8.5,CLE3.5,CIN15.9,CHC1.0,DET0.7,LAA1.8,KCR1.3,LAA1.9,PHI1.3,TBR2.4,SFG1.4,CIN5.5,MIL1.0,SDP0.5
20,New York Yankees28.4,TEX13.3,CHC8.0,ARI3.3,NYM15.3,LAA0.9,SEA0.7,MIL1.7,CHC1.1,ARI1.3,COL1.1,MIL2.1,MIL1.2,WSN5.0,SDP1.0,CLE0.4
21,Los Angeles Angels26.1,LAD13.2,HOU7.8,NYM3.1,LAA15.1,OAK0.8,PHI0.7,SFG1.3,MIL1.0,MIA1.1,ATL1.0,KCR2.1,NYY1.0,CLE4.8,ARI0.9,ATL0.3
22,San Francisco Giants25.3,CHW11.4,ARI7.0,SDP3.0,KCR11.5,COL0.6,CHW0.6,NYM1.0,SFG0.7,ATL0.9,DET1.0,SDP2.0,STL1.0,STL4.6,WSN0.8,NYM0.3
23,St. Louis Cardinals25.0,LAA11.0,LAD6.9,STL2.6,MIA10.6,SFG0.3,SDP0.5,WSN0.9,PHI0.4,STL0.8,STL0.9,NYY1.7,COL0.9,PIT3.1,CIN0.8,PIT0.3
24,Washington Nationals24.5,PIT10.7,PIT5.8,WSN2.0,PIT10.3,NYM0.2,MIL0.4,SEA0.9,NYY0.0,DET0.6,WSN0.8,PIT1.6,KCR0.8,KCR3.0,OAK0.7,DET0.2
25,Detroit Tigers22.7,ARI10.3,WSN5.3,COL1.8,SFG8.8,DET0.2,MIA0.3,DET0.8,ARI-0.1,BOS0.4,SFG0.5,MIA1.3,CIN0.7,MIA2.9,CHC0.7,STL0.2
26,Pittsburgh Pirates21.0,WSN7.3,CIN4.9,CHW1.6,NYY8.4,NYY0.1,CHC0.3,KCR0.6,MIA-0.2,OAK-0.3,KCR0.1,CLE1.3,NYM0.1,COL2.8,KCR0.7,LAA0.1
27,Kansas City Royals14.4,STL6.8,KCR4.4,LAA1.5,DET8.2,CLE-0.1,HOU0.1,BOS0.0,LAA-0.2,CLE-0.4,OAK0.1,WSN1.0,CLE0.1,SFG2.6,CHW0.4,OAK0.0
