pitch_type,pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
FF,170,672275,"Bailey, Patrick",574,29.6,0.222,0.139,0.292,0.361,0.329,0.328,0.214,8,36,93,6.8,2285,94.7,95.07,9,74,96,0.4,6.54,118,145,120,150,291,321,303,-1.7,1.7,68.89363032,6.456191905
SL,48,672275,"Bailey, Patrick",574,8.4,0.444,0.333,0.6,0.778,0.538,0.473,0.414,4,9,89.7,18.5,2504,86.9,87.31,8,26,22,0.4,6.39,120,146,120,151,294,322,304,-1.4,1.4,71.43956625,7.8665425
FC,54,672275,"Bailey, Patrick",574,9.4,0.333,0.4,0.231,0.733,0.449,0.481,0.367,5,15,88.5,15.3,2372,90.3,90.79,3,28,26,0.5,6.51,121,146,113,151,288,319,303,-1.1,1.1,71.0896736,6.7912392
SI,54,672275,"Bailey, Patrick",574,9.4,0.25,0,0.333,0.25,0.315,0.321,0.236,3,12,92.3,-3.1,2164,93.5,93.63,3,21,33,0.1,6.35,116,146,117,151,292,319,305,-0.1,0.1,70.566742,6.54271
CU,62,672275,"Bailey, Patrick",574,10.8,0.273,0,0.273,0.273,0.257,0.371,0.337,3,11,92,16.1,2682,80.6,80.48,5,28,34,-0.1,6.3,112,146,118,151,293,321,300,0.5,-0.5,70.40119923,7.557125769
FS,23,672275,"Bailey, Patrick",574,4,0,0,0,0,0.115,0.271,0.197,0,5,82.9,-2.2,1230,88.3,88.98,1,11,12,0.7,6.66,122,148,121,153,292,324,302,0.8,-0.8,69.02448727,7.386884545
ST,21,672275,"Bailey, Patrick",574,3.7,0,0,0,0,0.099,0.135,0.044,0,6,87.4,29.3,2608,82.8,83.19,4,11,10,0.4,6.58,124,145,114,151,289,318,304,1.1,-1.1,63.377295,7.28416125
CH,65,672275,"Bailey, Patrick",574,11.3,0.182,0.091,0.222,0.273,0.178,0.201,0.212,2,11,83.7,12.6,1764,85.3,85.51,11,27,38,0.2,6.38,114,145,113,150,290,321,304,1.2,-1.2,69.192678,7.7628176
CH,58,592192,"Canha, Mark",1211,4.8,0.385,0.538,0.375,0.923,0.582,0.405,0.237,5,13,90.3,1.7,1929,84.3,84.62,3,22,36,0.3,6.51,110,153,122,147,298,328,289,-4.3,4.3,65.86062667,7.592982857
FS,18,592192,"Canha, Mark",1211,1.5,0,0,0,0,0.173,0.279,0.155,0,3,94.1,-6,1347,88.3,88.67,2,7,11,0.4,6.38,114,151,121,148,298,325,290,0.2,-0.2,68.51319857,7.488254286
ST,88,592192,"Canha, Mark",1211,7.3,0.24,0,0.353,0.24,0.231,0.203,0.188,6,25,79.8,8.5,2621,82.3,82.36,7,27,61,0.1,6.52,104,151,120,145,296,324,289,0.3,-0.3,64.99769417,7.51147875
KC,22,592192,"Canha, Mark",1211,1.8,0,0,0,0,0,0.273,0.285,0,3,79.5,29.5,2596,83.4,83.72,3,7,15,0.3,6.5,103,152,121,147,297,327,286,0.7,-0.7,62.78805833,7.35639
SL,276,592192,"Canha, Mark",1211,22.8,0.153,0.034,0.2,0.186,0.191,0.212,0.171,9,59,84.1,8.1,2438,84.7,85.16,25,94,182,0.5,6.5,108,151,121,146,299,323,288,0.8,-0.8,62.85077888,7.578426
FC,43,592192,"Canha, Mark",1211,3.6,0.222,0,0.286,0.222,0.249,0.332,0.269,2,9,88.4,25.3,2473,79.3,79.24,2,10,33,-0.1,6.3,109,153,122,148,300,325,290,0.9,-0.9,64.66557,7.152019
CU,97,592192,"Canha, Mark",1211,8,0.333,0.143,0.438,0.476,0.375,0.242,0.166,7,21,84.4,2.8,2343,89.8,90.42,13,43,54,0.6,6.5,104,151,119,145,298,324,287,0.9,-0.9,65.45877691,7.225359048
SI,206,592192,"Canha, Mark",1211,17,0.273,0.25,0.25,0.523,0.388,0.356,0.284,12,44,90.6,2.6,2173,93.5,93.65,12,96,110,0.1,6.45,106,151,121,147,298,325,289,1.1,-1.1,68.28997932,7.060719545
