pitch_type,pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
CU,24,641487,"Crawford, J.P.",557,4.3,0,0,0,0,0.173,0.261,0.129,0,3,80.5,23,2653,78.8,78.93,2,9,15,0.1,6.46,114,146,106,152,287,319,296,0.4,-0.4,68.49772667,7.458305556
ST,13,641487,"Crawford, J.P.",557,2.3,0,0,0,0,0,0.486,0.42,0,2,96.9,20,2481,82,82.48,1,7,6,0.5,6.61,114,146,105,153,283,315,293,0.6,-0.6,74.20424,7.578278333
FC,72,641487,"Crawford, J.P.",557,12.9,0.267,0.2,0.273,0.467,0.336,0.366,0.288,4,15,83,9.6,2241,89.6,90.21,6,37,35,0.6,6.43,118,147,107,152,289,318,293,0.6,-0.6,70.54334,7.009921818
CH,70,641487,"Crawford, J.P.",557,12.6,0.111,0,0.125,0.111,0.088,0.181,0.161,1,9,84.5,19.3,1778,86.4,86.87,5,25,45,0.5,6.56,115,146,111,152,288,321,296,1.4,-1.4,69.33249667,7.67995619
SI,49,641487,"Crawford, J.P.",557,8.8,0.091,0.091,0.125,0.182,0.162,0.368,0.259,1,11,99.7,5.1,2050,94.7,95.03,2,18,31,0.3,6.46,117,148,109,153,288,320,298,1.5,-1.5,69.84751917,6.800743333
FS,24,641487,"Crawford, J.P.",557,4.3,0,0,0,0,0,0.151,0.144,0,6,91.1,9.7,1441,88.6,89.27,0,6,18,0.7,6.65,111,145,111,152,280,316,296,1.7,-1.7,70.87668,7.280795
SL,92,641487,"Crawford, J.P.",557,16.5,0.059,0,0.167,0.059,0.149,0.195,0.103,1,17,88.7,6.5,2357,86.1,86.67,18,47,45,0.6,6.52,118,147,114,153,289,319,295,2.3,-2.3,71.93840737,7.789081842
FF,200,641487,"Crawford, J.P.",557,35.9,0.119,0.024,0.192,0.143,0.186,0.316,0.243,5,42,89.7,19.6,2252,94.1,94.61,21,87,113,0.5,6.54,116,146,110,152,286,319,296,5,-5,68.6295948,6.678607467
CU,20,664034,"France, Ty",491,4.1,0.5,0,0.6,0.5,0.441,0.219,0.241,3,6,80.1,-0.4,2643,80,79.78,4,11,9,-0.2,6.24,106,152,122,148,301,317,285,-1.3,1.3,66.85872778,8.116802222
SI,92,664034,"France, Ty",491,18.7,0.308,0.231,0.318,0.538,0.384,0.37,0.301,8,26,87,7.8,2123,93.8,94.13,4,50,42,0.3,6.48,107,151,120,147,298,320,284,-1,1,69.77651907,7.269366744
FC,30,664034,"France, Ty",491,6.1,0.182,0.273,0.167,0.455,0.266,0.292,0.195,2,11,91.3,16.6,2409,91.9,92.79,5,17,13,0.9,6.56,105,151,122,146,300,318,282,-0.1,0.1,69.90665818,7.31674
SL,89,664034,"France, Ty",491,18.1,0.278,0.222,0.308,0.5,0.349,0.342,0.252,5,18,91.2,20.7,2463,85.8,86.15,10,41,48,0.3,6.44,108,150,121,146,299,317,283,-0.1,0.1,67.32553448,7.968733448
