batter_name,stand,game_year,OBP,OBP_avg
Aaron Hicks,L,2017,0.375,0.324
Aaron Hicks,R,2017,0.345,0.324
Aaron Hicks,L,2018,0.377,0.318
Aaron Hicks,R,2018,0.33,0.318
Aaron Hicks,L,2019,0.339,0.323
Aaron Hicks,L,2021,0.336,0.317
Aaron Hicks,L,2022,0.331,0.312
Aaron Hicks,R,2022,0.289,0.312
Abraham Almonte,L,2017,0.348,0.324
Abraham Almonte,L,2018,0.296,0.318
Abraham Almonte,L,2021,0.349,0.317
Abraham Toro,R,2021,0.351,0.317
Abraham Toro,L,2021,0.308,0.317
Abraham Toro,R,2022,0.281,0.312
Abraham Toro,L,2022,0.241,0.312
Adalberto Mondesí,L,2018,0.29,0.318
Adalberto Mondesí,R,2019,0.27,0.323
Adalberto Mondesí,L,2019,0.306,0.323
Adalberto Mondesí,L,2021,0.274,0.317
Adley Rutschman,L,2022,0.387,0.312
Adley Rutschman,R,2022,0.287,0.312
Alen Hanson,L,2017,0.275,0.324
Alen Hanson,L,2018,0.295,0.318
Andrew Knapp,L,2017,0.349,0.324
Andrew Knapp,L,2018,0.281,0.318
Andrew Knapp,L,2019,0.3,0.323
Andrew Knapp,L,2021,0.226,0.317
Andrew Romine,L,2017,0.287,0.324
Andrew Romine,L,2018,0.239,0.318
Andrew Velazquez,L,2022,0.22,0.312
Andrew Velazquez,R,2022,0.27,0.312
Anthony Santander,L,2018,0.256,0.318
Anthony Santander,L,2019,0.3,0.323
Anthony Santander,R,2019,0.311,0.323
Anthony Santander,L,2021,0.3,0.317
Anthony Santander,R,2021,0.311,0.317
Anthony Santander,R,2022,0.364,0.312
Anthony Santander,L,2022,0.294,0.312
Asdrúbal Cabrera,R,2017,0.437,0.324
Asdrúbal Cabrera,L,2017,0.327,0.324
Asdrúbal Cabrera,L,2018,0.321,0.318
Asdrúbal Cabrera,R,2018,0.302,0.318
Asdrúbal Cabrera,R,2019,0.355,0.323
Asdrúbal Cabrera,L,2019,0.331,0.323
Asdrúbal Cabrera,R,2021,0.321,0.317
Asdrúbal Cabrera,L,2021,0.314,0.317
Ben Zobrist,L,2017,0.334,0.324
Ben Zobrist,R,2017,0.246,0.324
Ben Zobrist,L,2018,0.372,0.318
Ben Zobrist,R,2018,0.368,0.318
Ben Zobrist,L,2019,0.333,0.323
Billy Hamilton,L,2017,0.318,0.324
Billy Hamilton,R,2017,0.25,0.324
Billy Hamilton,L,2018,0.311,0.318
Billy Hamilton,R,2018,0.271,0.318
Billy Hamilton,R,2019,0.27,0.323
Billy Hamilton,L,2019,0.306,0.323
Billy Hamilton,R,2021,0.255,0.317
Blake Swihart,L,2018,0.312,0.318
Bryan Reynolds,R,2019,0.327,0.323
Bryan Reynolds,L,2019,0.401,0.323
Bryan Reynolds,R,2021,0.4,0.317
Bryan Reynolds,L,2021,0.379,0.317
Bryan Reynolds,L,2022,0.348,0.312
Bryan Reynolds,R,2022,0.324,0.312
Cal Raleigh,L,2021,0.235,0.317
Cal Raleigh,R,2022,0.306,0.312
Cal Raleigh,L,2022,0.287,0.312
Carlos Beltrán,R,2017,0.237,0.324
Carlos Beltrán,L,2017,0.292,0.324
Carlos Sanchez,R,2017,0.287,0.324
Carlos Sanchez,L,2017,0.325,0.324
Carlos Sanchez,L,2018,0.32,0.318
Carlos Sanchez,R,2018,0.265,0.318
Carlos Sanchez,L,2019,0.301,0.323
Carlos Sanchez,R,2019,0.34,0.323
Carlos Santana,R,2017,0.341,0.324
Carlos Santana,L,2017,0.362,0.324
Carlos Santana,R,2018,0.359,0.318
Carlos Santana,L,2018,0.34,0.318
Carlos Santana,R,2019,0.411,0.323
Carlos Santana,L,2019,0.382,0.323
Carlos Santana,R,2021,0.332,0.317
Carlos Santana,L,2021,0.321,0.317
Carlos Santana,R,2022,0.401,0.312
Carlos Santana,L,2022,0.282,0.312
Chase Headley,L,2017,0.355,0.324
Chase Headley,R,2017,0.292,0.324
Cliff Pennington,L,2017,0.352,0.324
Cole Tucker,L,2019,0.297,0.323
Cole Tucker,L,2021,0.301,0.317
César Hernández,R,2017,0.358,0.324
César Hernández,L,2017,0.38,0.324
César Hernández,L,2018,0.343,0.318
César Hernández,R,2018,0.357,0.318
César Hernández,L,2019,0.339,0.323
César Hernández,R,2019,0.303,0.323
César Hernández,R,2021,0.3,0.317
César Hernández,L,2021,0.326,0.317
César Hernández,L,2022,0.298,0.312
César Hernández,R,2022,0.343,0.312
Danny Espinosa,L,2017,0.246,0.324
Danny Espinosa,R,2017,0.233,0.324
Danny Santana,L,2017,0.261,0.324
Danny Santana,R,2019,0.335,0.323
Danny Santana,L,2019,0.317,0.323
Danny Santana,L,2021,0.24,0.317
Dexter Fowler,R,2017,0.351,0.324
Dexter Fowler,L,2017,0.366,0.324
Dexter Fowler,L,2018,0.282,0.318
Dexter Fowler,R,2019,0.318,0.323
Dexter Fowler,L,2019,0.333,0.323
Dylan Carlson,L,2021,0.328,0.317
Dylan Carlson,R,2021,0.376,0.317
Dylan Carlson,R,2022,0.372,0.312
Dylan Carlson,L,2022,0.296,0.312
Eduardo Escobar,R,2017,0.321,0.324
Eduardo Escobar,L,2017,0.309,0.324
Eduardo Escobar,R,2018,0.349,0.318
Eduardo Escobar,L,2018,0.311,0.318
Eduardo Escobar,R,2019,0.347,0.323
Eduardo Escobar,L,2019,0.301,0.323
Eduardo Escobar,R,2021,0.32,0.317
Eduardo Escobar,L,2021,0.307,0.317
Eduardo Escobar,L,2022,0.29,0.312
Eduardo Escobar,R,2022,0.315,0.312
Ehire Adrianza,L,2017,0.331,0.324
Ehire Adrianza,L,2018,0.289,0.318
Ehire Adrianza,R,2018,0.32,0.318
Ehire Adrianza,L,2019,0.35,0.323
Ehire Adrianza,L,2021,0.33,0.317
Eric Young Jr.,L,2017,0.366,0.324
Eric Young Jr.,L,2018,0.267,0.318
Erick Aybar,L,2017,0.298,0.324
Erick Aybar,R,2017,0.298,0.324
Francisco Lindor,L,2017,0.312,0.324
Francisco Lindor,R,2017,0.344,0.324
Francisco Lindor,R,2018,0.393,0.318
Francisco Lindor,L,2018,0.32,0.318
Francisco Lindor,R,2019,0.339,0.323
Francisco Lindor,L,2019,0.32,0.323
Francisco Lindor,R,2021,0.306,0.317
Francisco Lindor,L,2021,0.335,0.317
Francisco Lindor,R,2022,0.347,0.312
